service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
S1512-AMD-Weekday-53,1,1,1,1,1,0,0,20160315,20160318
S1512-Satco-Saturday-01,0,0,0,0,0,1,0,20160319,20160319
S1603-Satco-Sunday-01,0,0,0,0,0,0,1,20160320,20160612
S1603-SATCo-Weekday-01,1,1,1,1,1,0,0,20160321,20160516
S1603-SATCo-Weekday-01-1010100,1,0,1,0,1,0,0,20160321,20160516
S1603-SATCo-Weekday-01-0101000,0,1,0,1,0,0,0,20160321,20160516
S1603-SATCo-Weekday-01-1111000,1,1,1,1,0,0,0,20160321,20160516
S1603-AMD-Weekday-53,1,1,1,1,1,0,0,20160325,20160422
S1603-AMD-Weekday-53-0101000,0,1,0,1,0,0,0,20160325,20160422
S1603-AMD-Weekday-53-1010100,1,0,1,0,1,0,0,20160325,20160422
S1603-AMD-Weekday-53-1111000,1,1,1,1,0,0,0,20160325,20160422
S1603-Satco-Saturday-01,0,0,0,0,0,1,0,20160326,20160618
S1603-AMD-Weekday-50,1,1,1,1,1,0,0,20160418,20160418
S1603-AMD-Weekday-51,1,1,1,1,1,0,0,20160517,20160519
S1603-AMD-Weekday-51-1111000,1,1,1,1,0,0,0,20160517,20160519
S1603-AMD-Weekday-52,1,1,1,1,1,0,0,20160520,20160617
HTS04-Hulmes-Weekday-04,1,1,1,1,1,0,0,20160315,20160905
HTS04-Hulmes-Weekday-04-0001100,0,0,0,1,1,0,0,20160315,20160905
HTS04-hulmes-Saturday-01,0,0,0,0,0,1,0,20160319,20160903
UM1516-UMTS-Weekday-05,1,1,1,1,1,0,0,20160315,20160318
UM1516-UMTS-Saturday-07,0,0,0,0,0,1,0,20160319,20160903
UM1516-UMTS-Sunday-12,0,0,0,0,0,0,1,20160320,20160501
UM1516-UMTS-Weekday-17,1,1,1,1,1,0,0,20160321,20160504
UM1516-UMTS-Weekday-17-1110000,1,1,1,0,0,0,0,20160321,20160504
UM1516-UMTS-Weekday-17-1111000,1,1,1,1,0,0,0,20160321,20160504
UM1516-UMTS-Weekday-17-0000100,0,0,0,0,1,0,0,20160321,20160504
UM1516-UMTS-Weekday-17-0001100,0,0,0,1,1,0,0,20160321,20160504
UM1516-UMTS-Saturday-12,0,0,0,0,0,1,0,20160326,20160430
UM1516-UMTS-Weekday-24,1,1,1,1,1,0,0,20160418,20160418
UM1516-UMTS-Weekday-24-1111000,1,1,1,1,0,0,0,20160418,20160418
UM1516-UMTS-Weekday-24-0000100,0,0,0,0,1,0,0,20160418,20160418
UM1516-UMTS-Weekday-19,1,1,1,1,1,0,0,20160505,20160505
UM1516-UMTS-Weekday-19-0001100,0,0,0,1,1,0,0,20160505,20160505
UM1516-UMTS-Weekday-19-1110000,1,1,1,0,0,0,0,20160505,20160505
UM1516-UMTS-Weekday-19-1111000,1,1,1,1,0,0,0,20160505,20160505
UM1516-UMTS-Weekday-19-0000100,0,0,0,0,1,0,0,20160505,20160505
UM1516-UMTS-Weekday-32,1,1,1,1,1,0,0,20160506,20160506
UM1516-UMTS-Weekday-32-0000100,0,0,0,0,1,0,0,20160506,20160506
UM1516-UMTS-Saturday-15,0,0,0,0,0,1,0,20160507,20160507
UM1516-UMTS-Sunday-14,0,0,0,0,0,0,1,20160508,20160508
UM1516-UMTS-Weekday-31,1,1,1,1,1,0,0,20160509,20160509
UM1516-UMTS-Weekday-07,1,1,1,1,1,0,0,20160510,20160513
UM1516-UMTS-Saturday-08,0,0,0,0,0,1,0,20160514,20160514
UM1516-UMTS-Sunday-08,0,0,0,0,0,0,1,20160515,20160904
UM1516-UMTS-Weekday-03,1,1,1,1,1,0,0,20160516,20160905
N1601-VATCo-Weekday-99,1,1,1,1,1,0,0,20160315,20160418
N1601-VATCo-Weekday-99-0111100,0,1,1,1,1,0,0,20160315,20160418
N1601-VATCo-Weekday-99-1000000,1,0,0,0,0,0,0,20160315,20160418
N1601-VATCo-Weekday-99-0100000,0,1,0,0,0,0,0,20160315,20160418
N1601-VATCo-Weekday-99-0011100,0,0,1,1,1,0,0,20160315,20160418
N1601-VATCo-Weekday-99-0010000,0,0,1,0,0,0,0,20160315,20160418
N1601-VATCo-Weekday-99-0001100,0,0,0,1,1,0,0,20160315,20160418
N1601-VATCo-Saturday-99,0,0,0,0,0,1,0,20160319,20160319
N1601-VATCo-Sunday-01,0,0,0,0,0,0,1,20160320,20160501
N1601-VATCo-Weekday-01,1,1,1,1,1,0,0,20160321,20160506
N1601-VATCo-Weekday-01-0100000,0,1,0,0,0,0,0,20160321,20160506
N1601-VATCo-Weekday-01-1000000,1,0,0,0,0,0,0,20160321,20160506
N1601-VATCo-Weekday-01-1110100,1,1,1,0,1,0,0,20160321,20160506
N1601-VATCo-Weekday-01-0001000,0,0,0,1,0,0,0,20160321,20160506
N1601-VATCo-Weekday-01-0101100,0,1,0,1,1,0,0,20160321,20160506
N1601-VATCo-Weekday-01-0000100,0,0,0,0,1,0,0,20160321,20160506
N1601-VATCo-Weekday-01-0010000,0,0,1,0,0,0,0,20160321,20160506
N1601-VATCo-Weekday-01-0001100,0,0,0,1,1,0,0,20160321,20160506
N1601-VATCo-Weekday-01-1101100,1,1,0,1,1,0,0,20160321,20160506
N1601-VATCo-Weekday-01-1100000,1,1,0,0,0,0,0,20160321,20160506
N1601-VATCo-Weekday-01-1011100,1,0,1,1,1,0,0,20160321,20160506
N1601-VATCo-Saturday-01,0,0,0,0,0,1,0,20160326,20160507
