service_id,date,exception_type
S1603-Satco-Sunday-01,20160530,1
S1603-SATCo-Weekday-01,20160325,2
S1603-SATCo-Weekday-01-1010100,20160325,2
S1603-SATCo-Weekday-01-0101000,20160325,2
S1603-SATCo-Weekday-01-1111000,20160325,2
S1603-SATCo-Weekday-01,20160418,2
S1603-SATCo-Weekday-01-1010100,20160418,2
S1603-SATCo-Weekday-01-0101000,20160418,2
S1603-SATCo-Weekday-01-1111000,20160418,2
S1603-SATCo-Weekday-01,20160419,2
S1603-SATCo-Weekday-01-1010100,20160419,2
S1603-SATCo-Weekday-01-0101000,20160419,2
S1603-SATCo-Weekday-01-1111000,20160419,2
S1603-SATCo-Weekday-01,20160420,2
S1603-SATCo-Weekday-01-1010100,20160420,2
S1603-SATCo-Weekday-01-0101000,20160420,2
S1603-SATCo-Weekday-01-1111000,20160420,2
S1603-SATCo-Weekday-01,20160421,2
S1603-SATCo-Weekday-01-1010100,20160421,2
S1603-SATCo-Weekday-01-0101000,20160421,2
S1603-SATCo-Weekday-01-1111000,20160421,2
S1603-SATCo-Weekday-01,20160422,2
S1603-SATCo-Weekday-01-1010100,20160422,2
S1603-SATCo-Weekday-01-0101000,20160422,2
S1603-SATCo-Weekday-01-1111000,20160422,2
S1603-AMD-Weekday-53,20160328,2
S1603-AMD-Weekday-53-0101000,20160328,2
S1603-AMD-Weekday-53-1010100,20160328,2
S1603-AMD-Weekday-53-1111000,20160328,2
S1603-AMD-Weekday-53,20160329,2
S1603-AMD-Weekday-53-0101000,20160329,2
S1603-AMD-Weekday-53-1010100,20160329,2
S1603-AMD-Weekday-53-1111000,20160329,2
S1603-AMD-Weekday-53,20160330,2
S1603-AMD-Weekday-53-0101000,20160330,2
S1603-AMD-Weekday-53-1010100,20160330,2
S1603-AMD-Weekday-53-1111000,20160330,2
S1603-AMD-Weekday-53,20160331,2
S1603-AMD-Weekday-53-0101000,20160331,2
S1603-AMD-Weekday-53-1010100,20160331,2
S1603-AMD-Weekday-53-1111000,20160331,2
S1603-AMD-Weekday-53,20160401,2
S1603-AMD-Weekday-53-0101000,20160401,2
S1603-AMD-Weekday-53-1010100,20160401,2
S1603-AMD-Weekday-53-1111000,20160401,2
S1603-AMD-Weekday-53,20160404,2
S1603-AMD-Weekday-53-0101000,20160404,2
S1603-AMD-Weekday-53-1010100,20160404,2
S1603-AMD-Weekday-53-1111000,20160404,2
S1603-AMD-Weekday-53,20160405,2
S1603-AMD-Weekday-53-0101000,20160405,2
S1603-AMD-Weekday-53-1010100,20160405,2
S1603-AMD-Weekday-53-1111000,20160405,2
S1603-AMD-Weekday-53,20160406,2
S1603-AMD-Weekday-53-0101000,20160406,2
S1603-AMD-Weekday-53-1010100,20160406,2
S1603-AMD-Weekday-53-1111000,20160406,2
S1603-AMD-Weekday-53,20160407,2
S1603-AMD-Weekday-53-0101000,20160407,2
S1603-AMD-Weekday-53-1010100,20160407,2
S1603-AMD-Weekday-53-1111000,20160407,2
S1603-AMD-Weekday-53,20160408,2
S1603-AMD-Weekday-53-0101000,20160408,2
S1603-AMD-Weekday-53-1010100,20160408,2
S1603-AMD-Weekday-53-1111000,20160408,2
S1603-AMD-Weekday-53,20160411,2
S1603-AMD-Weekday-53-0101000,20160411,2
S1603-AMD-Weekday-53-1010100,20160411,2
S1603-AMD-Weekday-53-1111000,20160411,2
S1603-AMD-Weekday-53,20160412,2
S1603-AMD-Weekday-53-0101000,20160412,2
S1603-AMD-Weekday-53-1010100,20160412,2
S1603-AMD-Weekday-53-1111000,20160412,2
S1603-AMD-Weekday-53,20160413,2
S1603-AMD-Weekday-53-0101000,20160413,2
